index,Song-Name,Singer/Artists,Genre,Movie,User-Rating
552,Ek Dilruba Hai,Udit Narayan,BollywoodDanceRomantic,Bewafaa,8.9/10
553,Tu Pyar Hai Kisi Aur Ka,"Anuradha Paudwal, Kumar Sanu",BollywoodSad,Dil Hai Ke Manta Nahin,9.1/10
554,Aata Majhi Satakli,"Mamta Sharma, Nitu Choudhry, Yo Yo Honey Singh",BollywoodDance,Singham Returns,7.9/10
555,Ishq Bulaava,Sanam Puri,BollywoodRomantic,Hasee Toh Phasee,9.8/10
556,Thug Le,"Sweta Pandit, Vishal Dadlani",BollywoodDance,Ladies Vs Ricky Bahl,9.4/10
557,Hum Mar Jayenge,"Arijit Singh, Tulsi Kumar",BollywoodSad,Aashiqui 2,9.2/10
558,Desi Girl,"Shankar Mahadevan, Sunidhi Chauhan, Vishal Dadlani",BollywoodDance,Dostana,9.4/10
559,Madamji Go Easy,"Benny Dayal, David Klyton",BollywoodDance,Hichki,8.9/10
560,Tu Dharti Pe Chaahe Jahan Bhi,"Alka Yagnik, Kumar Sanu",BollywoodRomantic,Jeet,8.6/10
561,Sandese Aate Hain,"Roop Kumar Rathod, Sonu Nigam",BollywoodPatriotic,Border,9.1/10
562,Tenu Le Ke,"Mahalakshmi Iyer, Sonu Nigam",BollywoodDance,Salaam-E-Ishq,9.4/10
563,Pehli Nazar Mein,Atif Aslam,BollywoodRomantic,Race,9.5/10
564,I Wanna Tera Ishq,"Shivangi Bhayana, Shivranjani Singh",BollywoodDance,Great Grand Masti,9.2/10
565,Nimbooda Nimbooda,"Ismail Darbar, Kavita Krishnamurthy",BollywoodDance,Hum Dil De Chuke Sanam,8.7/10
566,Tera Rang Balle Balle,"Jaspinder Narula, Sonu Nigam",BollywoodDance,Soldier,8.5/10
567,Dil Laga Na,"Jolly Mukherjee, Mahalaxmi Iyer, Soham Chakrabarthy, Sukhbir, Suzanne D'Mello",BollywoodDance,Dhoom 2,9.2/10
568,Naina Banjare,Arijit Singh,BollywoodRomantic,Pataakha,9.7/10
569,Yadaan Teriyaan,Rahat Fateh Ali Khan,Bollywood,Hero,9.4/10
570,Asalaam-E-Ishqum,"Bappi Lahiri, Neha Bhasin",BollywoodDance,Gunday,9.3/10
571,Nadaan Parindey,A.R. Rahman,BollywoodSad,Rockstar,9.5/10
572,You Are My Soniya,"Alka Yagnik, Sonu Nigam",BollywoodDance,Kabhi Khushi Kabhie Gham,9.4/10
573,Aaja Nachle,Sunidhi Chauhan,BollywoodDance,Aaja Nachle,9.1/10
574,Piya O Re Piya,"Atif Aslam, Shreya Ghoshal",BollywoodRomantic,Tere Naal Love Ho Gaya,9.6/10
575,Halka Halka,"Ram Sampath, Shreya Ghoshal, Sonu Nigam",BollywoodDanceRomantic,Raees,9.5/10
576,Peh Gaya Khalara,"Akanksha Bhandari, Akasa Singh, Divya Kumar, Jasleen Royal",BollywoodDance,Fukrey Returns,9.4/10
577,Malang,"Shilpa Rao, Siddharth Mahadevan",BollywoodDance,Dhoom 3,9.1/10
578,Kuch Kuch Hota Hai,"Alka Yagnik, Udit Narayan",BollywoodRomantic,Kuch Kuch Hota Hai,9.2/10
579,Tay Hai,Ankit Tiwari,BollywoodSad,Rustom,9.6/10
580,Usire Usire,"Shaan, Shreya Ghoshal",BollywoodDanceRomantic,Hebbuli,8.7/10
581,Papa Mere Papa,"Baby Aparna, Shreya Ghoshal, Sonu Nigam",Bollywood,Main Aisa Hi Hoon,7.9/10
582,Go Go Govinda (Reprise),"Aaman Trikha, Shreya Ghoshal",BollywoodDance,OMG Oh My God!,8.7/10
583,Go Go Govinda,"Aman Trikha, Shreya Ghoshal",BollywoodDance,OMG Oh My God!,8.7/10
584,Tu Mujhe Kabool,"Kavita Krishnamurthy, Mohammad Aziz",BollywoodDance,Khuda Gawah,8.1/10
585,Hori Khele Raghuveera,"Alka Yagnik, Amitabh Bachchan, Sukhwinder Singh, Udit Narayan",BollywoodDance,Baghban,8.2/10
586,Aap Ka Aana Dil Dhadkana,"Alka Yagnik, Kumar Sanu",BollywoodDance,Kurukshetra,8.9/10
587,Love Tujhe Love Main Karta,"Alka Yagnik, Kumar Sanu",BollywoodRomantic,Barsaat,8.9/10
588,Just Go to Hell Dil,"Amit Trivedi, Sunidhi Chauhan",BollywoodSad,Dear Zindagi,9.6/10
589,Party All Night,Yo Yo Honey Singh,BollywoodDance,Boss,9.0/10
590,Talli Tonight,"Deep Money, Meet Bros, Mellow D, Neha Kakkar",BollywoodDance,Veerey Ki Wedding,9.3/10
591,Darasal,Atif Aslam,BollywoodRomantic,Raabta,9.6/10
592,Mauja Hi Mauja,Mika Singh,BollywoodDance,Jab We Met,9.3/10
593,Dhokha Dhadi,Arijit Singh,BollywoodRomantic,R... Rajkumar,9.3/10
594,Dhoom Machale Dhoom,Aditi Singh Sharma,BollywoodDance,Dhoom 3,9.3/10
595,Ikk Kudi,Diljit Dosanjh,BollywoodRomantic,Udta Punjab,9.5/10
596,Jhalak Dikhla Ja,Himesh Reshammiya,BollywoodDance,Aksar,8.9/10
597,Baby Doll,"Anjjan, Kanika Kapoor, Meet Bros",BollywoodDance,Ragini MMS 2,8.8/10
598,Laila O Laila,"Amit Kumar, Kanchan",BollywoodDance,Qurbani,8.8/10
599,Jaane De,Atif Aslam,Bollywood,Qarib Qarib Singlle,9.6/10
600,Dilli Wali Girlfriend,"Arijit Singh, Sunidhi Chauhan",BollywoodDance,Yeh Jawaani Hai Deewani,9.2/10
601,Mar Jaayen,Atif Aslam,BollywoodSad,Loveshhuda,9.7/10
602,I Love My India,"Hariharan, Kavita Krishnamurthy",BollywoodDance,Pardes,8.6/10
603,O Sahiba O Sahiba,"Kavita Krishnamurthy, Sonu Nigam",BollywoodSad,Dil Hai Tumhaara,8.7/10
604,O Saaki Saaki,"Sukhwinder Singh, Sunidhi Chauhan",BollywoodDance,Musafir,9.2/10
605,Let�s Talk About Love,"Manj Musik, Neha Kakkar, Raftaar",BollywoodDance,Baaghi,9.2/10
606,Satakli,Sukhwinder Singh,BollywoodDance,Happy New Year,9.2/10
607,Kashmir Main Tu Kanyakumari,"Arijit Singh, Neeti Mohan, Sunidhi Chauhan",BollywoodDance,Chennai Express,9.3/10
608,Kaala Doreya,Neha Bhasin,Bollywood,Kaalakaandi,9.3/10
609,Raabta,"Arijit Singh, Hamsika, Joi",BollywoodRomantic,Agent Vinod,9.5/10
610,Vele,"Shekhar Ravjiani, Vishal Dadlani",BollywoodDance,Student of the Year,9.5/10
611,440 Volt,Mika Singh,BollywoodDance,Sultan,8.9/10
612,Aapka Kya Hoga,"Arun Ingle, Mika Singh, Sajid Khan, Shankar Mahadevan, Sunidhi Chauhan",BollywoodDance,Housefull,9.1/10
613,Tere Ishq Mein Naachenge,"Alisha Chinai, Kumar Sanu, Sapna Mukharji",BollywoodDance,Raja Hindustani,8.7/10
614,Kisi Ki Muskurahaton Se,Mukesh,BollywoodDance,Anari,9.6/10
615,Bawara Mann,"Jubin Nautiyal, Neeti Mohan",BollywoodRomantic,Jolly LLB 2,9.3/10
616,Tere Bina (Guru),"A.R. Rahman, Chinmaye, Murtuza Khan, Qadir Khan",BollywoodDance,Guru,9.6/10
617,Itna Sannata Kyun Hai,"Aditi Singh Sharma, Amit Mishra",BollywoodDance,Golmaal Again,8.7/10
618,Desi Look,Kanika Kapoor,BollywoodDance,Ek Paheli Leela,8.7/10
619,Chamakti Shaam Hai,"Alka Yagnik, Sonu Nigam",BollywoodDance,Yaadein,8.9/10
620,Sarsariya,"Shashaa Tirupati, Shashwat Singh",BollywoodRomantic,Mohenjo Daro,9.2/10
621,Jag Soona Soona Lage,,BollywoodSad,Om Shanti Om,9.4/10
622,Kandhon Se Milte Hain Kandhe,"Hariharan, Kunal Ganjawala, Roop Kumar Rathod, Shankar Mahadevan, Sonu Nigam, Vijay Prakash",BollywoodPatriotic,Lakshya,9.5/10
623,Deewangi Deewangi,"Rahul Saxena, Shaan, Shreya Ghoshal, Sunidhi Chauhan, Udit Narayan",BollywoodDance,Om Shanti Om,9.3/10
624,Tareefan Remix,Badshah,BollywoodDance,Veere Di Wedding,9.3/10
625,Samjhawan,"Arijit Singh, Shreya Ghoshal",BollywoodSad,Humpty Sharma Ki Dulhania,9.4/10
626,Bam Lahiri,Kailash Kher,BollywoodDance,Shor in the City,9.3/10
627,Chicken Kuk Doo Koo,"Mohit Chauhan, Palak Muchhal",BollywoodDance,Bajrangi Bhaijaan,8.9/10
628,Dhating Naach,"Nakash Aziz, Neha Kakkar",BollywoodDance,Phata Poster Nikhla Hero,9.2/10
629,Tu Itni Khoobsurat Hai,Rahat Fateh Ali Khan,BollywoodSad,Barkhaa,9.5/10
630,O Priya Priya,"Anuradha Paudwal, Shabbir Kumar",BollywoodSad,Dil,7.6/10
631,Manchala,"Nupur Pant, Shafqat Amanat Ali",BollywoodSad,Hasee Toh Phasee,9.6/10
632,Lukka Chuppi,"A.R. Rahman, Lata Mangeshkar",BollywoodSad,Rang De Basanti,9.7/10
633,Prem Leela,"Aaman Trikha, Vineet Singh",BollywoodDance,Prem Ratan Dhan Payo,8.0/10
634,Khuda Jaane,"K.K., Shilpa Rao",BollywoodRomantic,Bachna Ae Haseeno,9.4/10
635,Premika,"Benny Dayal, Kanika Kapoor",BollywoodDance,Dilwale,9.5/10
636,Tera Mujhse Hai Pehle Ka Naata Koi,"Kishore Kumar, Sushma Shrestha",BollywoodRomantic,Aa Gale Lag Jaa,9.2/10
637,Character Dheela,"Amrita Kak, Neeraj Shridhar",BollywoodDance,Ready,9.3/10
638,Munni Badnam Hui,"Aishwarya, Mamta Sharma",BollywoodDance,Dabangg,8.8/10
639,Saadda Haq,Mohit Chauhan,BollywoodDance,Rockstar,9.4/10
640,Rehnuma,"Inder Bawra, Shreya Ghoshal",BollywoodRomanticSad,Rocky Handsome,9.5/10
641,Ilahi,Arijit Singh,BollywoodDance,Yeh Jawaani Hai Deewani,9.5/10
642,Neendein Khul Jaati Hain,"Kanika Kapoor, Meet Bros, Mika Singh",BollywoodDance,Hate Story 3,9.1/10
643,Phir Le Aya Dil,Shafqat Amanat Ali,BollywoodSad,Barfi,9.7/10
644,Main Yahaan Hoon,Udit Narayan,BollywoodDance,Veer Zaara,9.4/10
645,Soni Soni,"Ishaan, Jaspinder Narula, Manohar Shetty, Pritha Majumdar, Shweta Pandit, Sonali Bhatawdekar, Udbhav, Udit Narayan",BollywoodDance,Mohabbatein,9.1/10
646,Rocket Saiyyan,"Brijesh Shandilya, Ritu Pathak, Tanishk Baagchi",BollywoodDance,Shubh Mangal Saavdhan,8.9/10
647,Khol De Par,Arijit Singh,Bollywood,Hichki,9.3/10
648,Humko Humise Chura Lo,"Lata Mangeshkar, Udit Narayan",BollywoodRomantic,Mohabbatein,9.1/10
649,Be Intehaan,"Atif Aslam, Sunidhi Chauhan",BollywoodRomantic,Race 2,9.4/10
650,Subhanallah,"Shilpa Rao, Sreerama Chandra Mynampati",BollywoodRomantic,Yeh Jawaani Hai Deewani,9.5/10
651,Dholna,"Lata Mangeshkar, Udit Narayan",BollywoodRomantic,Dil To Pagal Hai,9.1/10
652,Koi Ishaara,Armaan Malik,BollywoodRomanticSad,Force 2,9.6/10
653,Phir Bhi Dil Hai Hindustani,Udit Narayan,BollywoodDancePatriotic,Phir Bhi Dil Hai Hindustani,9.0/10
654,Kore Kore Sapne,"Anuradha Paudwal, Kumar Sanu",BollywoodDance,Sooryavansham,8.5/10
655,Hale Dil,Harshit Saxena,BollywoodRomantic,Murder 2,9.2/10
656,Aaoge Jab Tum,Rashid Khan,BollywoodSad,Jab We Met,9.3/10
657,Tinku Jiya,"Javed Ali, Mamta Sharma",BollywoodDance,Yamla Pagla Deewana,9.0/10
658,Lakshya � Title Track,Shankar Mahadevan,BollywoodMotivationalPatriotic,Lakshya,9.6/10
659,Pretty Woman,"Ravi Khote, Shankar Mahadevan",BollywoodDance,Kal Ho Naa Ho,9.5/10
660,Silsila Ye Chaahat Ka,Shreya Ghoshal,BollywoodRomantic,Devdas,9.4/10
661,Helicopter,"Neha Kakkar, Tony Kakkar",BollywoodDance,Ranchi Diaries,9.3/10
662,Kabhi Khushi Kabhie Gham,Lata Mangeshkar,BollywoodSad,Kabhi Khushi Kabhie Gham,9.2/10
663,Chak Lein De,Kailash Kher,BollywoodMotivational,Chandni Chowk To China,9.3/10
664,Meri Aashiqui Ab Tum Hi Ho,"Arijit Singh, Palak Muchhal",BollywoodRomanticSad,Aashiqui 2,9.5/10
665,Tere Dware Pe Aai Baraat,"Ravindra Jain, Sudesh Bhosle",BollywoodDance,Vivah,8.1/10
666,Badi Mushkil Hai,Abhijeet,BollywoodRomance,Anjaam,9.2/10
667,Toh Dishoom,"Raftaar, Shahid Mallya",BollywoodDance,Dishoom,9.4/10
668,Kudiye Ni Tere,"Shivangi Bhayana, Udit Narayan",BollywoodRomantic,Happy Phir Bhaag Jayegi,9.5/10
669,Hu Ba Hu,Amit Trivedi,BollywoodDance,Padman,9.4/10
670,Kitna Pagal Dil Hai,Kumar Sanu,BollywoodRomantic,Andaaz,8.6/10
671,Sahiba Russ Gayiya,Rahat Fateh Ali Khan,BollywoodSad,Firangi,9.6/10
672,Mehfooz,Yasser Desai,BollywoodRomanticSad,Tera Intezaar,9.2/10
673,Veerey Ki Wedding,Navraj Hans,BollywoodDance,Veerey Ki Wedding,9.2/10
674,Ek Pal Ka Jeena,Lucky Ali,BollywoodDance,Kaho Naa.... Pyaar Hai,9.2/10
675,Gori Tu Latth Maar,"Palak Muchhal, Sonu Nigam",BollywoodRomantic,Toilet Ek Prem Katha,9.2/10
676,Jal Rahin Hain,Kailash Kher,Bollywood,Bahubali - The Beginning,8.9/10
677,Tum Jo Mile,Armaan Malik,BollywoodRomantic,Saansein,9.6/10
678,Saathiya Tune Kya Kiya,"K. S. Chithra, S.P. Balasubrahmanyam",BollywoodDance,Love,9.3/10
679,Humne Pee Rakhi Hai,"Ikka, Jaz Dhami, Neha Kakkar",BollywoodDance,Sanam Re,9.0/10
680,Bheegi Si Bhaagi Si,Mohit Chauhan,BollywoodRomance,Raajneeti,9.6/10
681,Chura Liya Hai,Mohammed Rafi,BollywoodRomantic,Yaadon Ki Barat,9.0/10
682,Right Now Now,"Sunidhi Chauhan, Suzanne D'Mello, Wajid",BollywoodDance,Housefull 2,9.2/10
683,Crazy Kiya Re,Sunidhi Chauhan,BollywoodDance,Dhoom 2,9.3/10
684,Ziddi Dil,Vishal Dadlani,BollywoodMotivational,Mary Kom,9.4/10
685,Abhi Abhi,K.K.,BollywoodRomanticSad,Jism 2,8.7/10
686,Bahara,"Shreya Ghoshal, Sona Mohapatra",BollywoodRomantic,I Hate Luv Storys,9.6/10
687,Dekh Lena,"Arijit Singh, Tulsi Kumar",BollywoodRomantic,Tum Bin 2,9.3/10
688,Dheere Dheere Se Meri Zindagi Mein Aana,"Anuradha Paudwal, Kumar Sanu",Bollywood,Aashiqui,8.9/10
689,Tu Zaroori,"Sharib Sabri, Sunidhi Chauhan",BollywoodRomantic,ZiD,9.3/10
690,Afeemi,"Jigar Saraiya, Sanah Moidutty",BollywoodRomantic,Meri Pyaari Bindu,9.5/10
691,Salaam E Ishq,"Kunal Ganjawala, Sadhana Sargam, Shankar, Shreya Ghosal, Sonu Nigam",BollywoodDance,Salaam-E-Ishq,9.5/10
692,Naughty Billo,"Diljit Dosanjh, Nakash Aziz, Shilpi Paul",BollywoodDance,Phillauri,9.0/10
693,Behka,Vibha Saraf,BollywoodDance,High Jack,9.5/10
694,Pyar Ke Liye,Alka Yagnik,BollywoodRomantic,Dil Kya Kare,9.2/10
695,Dil Na Diya,Kunal Ganjawala,BollywoodDance,Krrish,8.8/10
696,Sukoon Mila,Arijit Singh,BollywoodRomantic,Mary Kom,9.6/10
697,Dil To Pagal Hai,"Lata Mangeshkar, Udit Narayan",BollywoodRomantic,Dil To Pagal Hai,8.7/10
698,Do Anjaane Ajnabi,"Shreya Ghoshal, Udit Narayan",BollywoodRomantic,Vivah,8.3/10
699,Tujh Mein Rab Dikhta Hai,Roop Kumar Rathod,BollywoodRomantic,Rab Ne Bana Di Jodi,9.3/10
700,Palki Mein Hoke Sawar Chali Re,Alka Yagnik,BollywoodDance,Khal Nayak,8.4/10
701,Andekhi Anjaani,"Lata Mangeshkar, Udit Narayan",BollywoodRomantic,Mujhse Dosti Karoge!,9.1/10
702,Dhinka Chika,"Amrita Kak, Mika Singh",BollywoodDance,Ready,8.3/10
703,Main Agar,Atif Aslam,BollywoodRomantic,Tubelight,9.6/10
704,Kyon,"Papon, Sunidhi Chauhan",BollywoodRomantic,Barfi,9.6/10
705,Tera Mera Milna,"Himesh Reshammiya, Shreya Ghoshal",BollywoodSad,Aap Kaa Surroor,8.9/10
706,Daayre,Arijit Singh,BollywoodRomantic,Dilwale,9.5/10
707,Sahiba,"Pawni Pandey, Romy",BollywoodSad,Phillauri,9.5/10
708,Saajan Saajan,"Alka Yagnik, Kumar Sanu, Udit Narayan",BollywoodDanceRomantic,Dil Ka Rishta,8.8/10
709,Aisa Des Hai Mera,"Gurdas Maan, Lata Mangeshkar, Preetha Mazumdar, Udit Narayan",BollywoodPatriotic,Veer Zaara,9.0/10
710,Lost Without You,"Ami Mishra, Anushka Shahaney",BollywoodSad,Half Girlfriend,9.6/10
711,Dhal Jaun Main,"Aakanksha Sharma, Jubin Nautiyal",BollywoodRomanticSad,Rustom,9.6/10
712,Badass Babuaa,"Abhishek Nailwal, Neha Bhasin, Sameer Uddin",BollywoodDance,Bareilly Ki Barfi,9.6/10
713,Aaj Kehna Zaroori Hai,"Alka Yagnik, Udit Narayan",BollywoodRomantic,Andaaz,8.7/10
714,Ye Toh Sach Hai Ke Bhagwan,Hariharan,BollywoodDance,Hum Saath-Saath Hain,8.5/10
715,Dastaan-e-Om Shanti Om,Shaan,BollywoodDance,Om Shanti Om,9.5/10
716,Saanson Ke,K.K.,BollywoodSad,Raees,9.6/10
717,O Jiji,"Pamela Jain, Shreya Ghoshal",BollywoodDance,Vivah,8.2/10
718,Hug Me,"Kanika Kapoor, Raghav Sachar",BollywoodDance,Beiimaan Love,9.1/10
719,Halkat Jawani,Sunidhi Chauhan,BollywoodDance,Heroine,9.3/10
720,Ek Dil Hai,"Alka Yagnik, Kumar Sanu",BollywoodRomantic,Ek Rishtaa,8.6/10
721,Black Jama Hai,Sukhwinder Singh,Bollywood,Raid,9.3/10
722,Confused Lover,"Aaniya, Mika Singh",BollywoodDance,Teri Bhabhi Hai Pagle,9.5/10
723,Tumse Milne Ki Tamanna Hai,S.P. Balasubrahmanyam,BollywoodDance,Saajan,9.1/10
724,Afsana,"Himesh Reshammiya, Tulsi Kumar",BollywoodDance,Dil Diya Hai,9.2/10
725,Naina,"Armaan Malik, Sona Mohapatra",BollywoodRomanticSad,Khoobsurat,9.6/10
726,Naina,"Armaan Malik, Sona Mohapatra",BollywoodSad,Khoobsurat,9.6/10
727,Dil Mein Dard Sa Jaga Hai,"Alka Yagnik, Udit Narayan",BollywoodDance,Kranti,8.8/10
728,Anarkali Disco Chali,"Mamta Sharma, Sukhwinder Singh",BollywoodDance,Housefull 2,8.8/10
729,Jab Dil Miley,"Asha Bhosle, Udit Narayan",BollywoodDance,Yaadein,9.1/10
730,Humko Humise Chura Lo,"Lata Mangeshkar, Udit Narayan",BollywoodRomantic,Mohabbatein,9.0/10
731,Make Some Noise For The Desi Boyz,"Bob, K.K.",BollywoodDance,Desi Boyz,9.3/10
732,Aga Bhai,Monali Thakur,BollywoodDance,Aiyyaa,9.1/10
733,Sehmi Hai Dhadkan,Atif Aslam,BollywoodSad,Daas Dev,9.7/10
734,Jawaani Le Doobi,"Kanika Kapoor, Uvie",BollywoodDance,Kyaa Kool Hain Hum 3,9.0/10
735,Humko Tumse Pyar Hai,Abhijeet,BollywoodDance,Ishq,9.1/10
736,Sadda Move,"Diljit Dosanjh, Pardeep Singh Sran",BollywoodDance,Raabta,9.2/10
737,Soniyo,"Neeraj Shridhar, Raju Singh, Shreya Ghoshal, Sonu Nigam",BollywoodRomantic,Raaz,9.6/10
738,Kaun Nachdi,"Guru Randhawa, Neeti Mohan",BollywoodDance,Sonu Ke Titu Ki Sweety,9.4/10
739,Dhoom Machale,Sunidhi Chauhan,BollywoodDanceRomantic,Dhoom,9.0/10
740,Door Na Ja,Sonu Nigam,BollywoodSad,Mitron,9.7/10
741,Ishq Shava,"Raghav Mathur, Shilpa Rao",BollywoodDance,Jab Tak Hai Jaan,9.4/10
742,Boss Title Track,"Anjjan, Meet Bros, Yo Yo Honey Singh",BollywoodDance,Boss,9.3/10
743,Tum Ko Dekha To Yeh Khayal Aya,"Chitra Singh, Jagjit Singh",BollywoodRomantic,Saath Saath,9.2/10
744,Jaane Nahi Denge Tujhe,Sonu Nigam,BollywoodSad,3 Idiots,9.1/10
745,Tadap Tadap,"Dominique, K.K.",BollywoodSad,Hum Dil De Chuke Sanam,8.9/10
746,Senti Wali Mental,"Amit Trivedi, Arijit Singh, Neeti Mohan, Swanand Kirkire",BollywoodDance,Shaandaar,9.3/10
747,Sapna Jahan,"Neeti Mohan, Sonu Nigam",BollywoodSad,Brothers,9.7/10
748,Urvashi Urvashi,"A.R. Rahman, Noel James, Shankar Mahadevan",BollywoodDance,Hum Se Hai Muqabala,9.4/10
749,Tere Bina,"Arijit Singh, Priya Saraiya",BollywoodRomantic,Haseena Parkar,8.9/10
750,Hoor,Atif Aslam,BollywoodSad,Hindi Medium,9.3/10
751,Chhoti Chhoti Raatein,"Anuradha Paudwal, Sonu Nigam",BollywoodDanceRomantic,Tum Bin,8.8/10
752,Sanson Ki Zarurat Hai Jaise,Kumar Sanu,BollywoodRomantic,Aashiqui,9.0/10
753,Zoobi Doobi,"Shreya Ghoshal, Sonu Nigam",BollywoodDanceRomantic,3 Idiots,9.1/10
754,Mannat,"Keerthi Sagathia, Shreya Ghoshal, Sonu Nigam",BollywoodDance,Daawat e Ishq,9.3/10
755,Intezaar,Shreya Ghoshal,BollywoodSad,Tera Intezaar,9.2/10
756,Agar Tu Hota,Ankit Tiwari,BollywoodSad,Baaghi,9.5/10
757,Hai Dil,"Alka Yagnik, Kumar Sanu",BollywoodRomantic,Dil Ka Rishta,8.8/10
758,Pardesiya,"Ehsaan Noorani, Hemant Brijwasi, Sahil Akhtar, Shankar Mahadevan, Shehnaz Akhtar",BollywoodSad,Soorma,9.7/10
759,Ishtehaar,"Dhvani Bhanushali, Rahat Fateh Ali Khan",BollywoodSad,Welcome To New York,9.4/10
760,Twist,Neeraj Shridhar,BollywoodDance,Love Aj Kal,9.2/10
761,You�re My Life,"Earl, Shaan, Shweta Pandit, Suzanne D'Mello",BollywoodDanceRomantic,Partner,9.0/10
762,Mat Maari,"Kunal Ganjawala, Sunidhi Chauhan",BollywoodDance,R... Rajkumar,8.9/10
763,Mujhse Juda Hokar,"Lata Mangeshkar, S.P. Balasubrahmanyam",BollywoodSad,Hum Aapke Hain Koun,8.6/10
764,Second Hand Jawaani,"Miss Pooja, Nakkash Aziz, Neha Kakkar",BollywoodDance,Cocktail,9.1/10
765,Naina Re,"Himesh Reshammiya, Rahat Fateh Ali Khan, Shreya Ghoshal",BollywoodSad,Dangerous Ishq,9.0/10
766,Tere Naina,"Shafqat Amanat Ali, Shankar Ehsaan Loy",BollywoodRomantic,My Name is Khan,9.6/10
767,Haathon Mein Thhe Haath,"Aditi Singh Sharma, Altamash Faridi, Arpita Mukherjee, Papon",BollywoodSad,Mubarakan,9.4/10
768,Gajanana,"Shreyas Puranik, Sukhwinder Singh",BollywoodDevotional,Bajirao Mastani,9.3/10
769,Tum Mile,Neeraj Shridhar,BollywoodRomantic,Tum Mile,9.5/10
770,Meri Khamoshi Hai,Ishan Mitra,BollywoodSad,Pari,9.6/10
771,Oh My Darling,"Alisha Chinai, Sonu Nigam",BollywoodDance,Mujhse Dosti Karoge!,9.1/10
772,Nainon Men Sapna,"Kishore Kumar, Lata Mangeshkar",BollywoodDance,Himmatwala,7.3/10
773,Tu Jo Hain,Ankit Tiwari,BollywoodRomanticSad,Mr. X,9.5/10
774,Dheere Dheere Bol Koi Sun Na Le,"Lata Mangeshkar, Mukesh",BollywoodRomantic,Gora Aur Kala,8.2/10
775,Mohenjo Daro,"A.R. Rahman, Arijit Singh, Bela Shende, Sanah Moidutty",BollywoodDance,Mohenjo Daro,9.0/10
776,Jai Jai Shiv Shankar,"Kishore Kumar, Lata Mangeshkar",BollywoodDance,Aap Ki Kasam,8.4/10
777,Ladki Kyon Na Jane Kyon,"Alka Yagnik, Shaan",BollywoodDance,Hum Tum,9.4/10
778,Drama Queen,"Shreya Ghoshal, Vishal Dadlani",BollywoodDance,Hasee Toh Phasee,9.5/10
779,Khaike Paan Banaras Wala,Kishore Kumar,BollywoodDance,Don,8.5/10
780,Tu Hi Haqeeqat,"Irshan Ashraf, Javed Ali, Shadaab Faridi",BollywoodRomantic,Tum Mile,9.5/10
781,Tune Maari Entriyaan (Bangla Version),"Bappi Lahiri, Monali Thakur",BollywoodDance,Gunday,8.8/10
782,Gudgudi,Sunidhi Chauhan,Bollywood,Secret Superstar,9.3/10
783,Yeh Kaisi Jagah,"Deepali Sathe, Zubeen Garg",BollywoodSad,Hamari Adhuri Kahani,9.5/10
784,Bass Gira De Raja,Shashwat Sachdev,Bollywood,Veere Di Wedding,8.1/10
785,Wada Karle Sajna Tere Bina,"Lata Mangeshkar, Mohammed Rafi",BollywoodRomantic,Haath Ki Safai,8.7/10
786,Jhalla Wallah,Shreya Ghoshal,BollywoodDance,Ishaqzaade,9.1/10
787,Hamesha Tumko Chaha,"Kavita Krishnamurthy, Udit Narayan",BollywoodSad,Devdas,9.2/10
788,Mujhko Barsaat Bana Lo,Armaan Malik,BollywoodRomantic,Junooniyat,9.3/10
789,Aaya Tere Dar Par,"Ahmed Hussain, Javed Hussain, Mohd Vakil, Mohd. Hussain",BollywoodDevotional,Veer Zaara,9.3/10
790,Ho Nahi Sakta,Udit Narayan,BollywoodRomantic,Diljale,8.7/10
791,Saale Sapne,Mohit Chauhan,Bollywood,Padman,9.5/10
792,Kaun Tujhe,Armaan Malik,BollywoodRomantic,M.S. Dhoni-The Untold Story,9.6/10
793,Tere Liye,"Atif Aslam, Shreya Ghoshal",BollywoodDance,Prince,9.1/10
794,Tu Isaq Mera,"Meet Bros, Neha Kakkar",BollywoodRomanticSensual,Hate Story 3,9.0/10
795,Shaam Shaandaar,Amit Trivedi,BollywoodDance,Shaandaar,9.3/10
796,Banjaara,Sukhwinder Singh,BollywoodDanceRomantic,Ek Tha Tiger,9.1/10
797,Akkha India Janta Hai,Kumar Sanu,BollywoodRomantic,Jaan Tere Naam,8.2/10
798,Tharki Chokro,Swaroop Khan,BollywoodDance,PK,8.6/10
799,Phir Se,"Nikhil Dsouza, Shreya Ghoshal",Bollywood,Phir Se,9.5/10
800,Gale Lag Ja,"Banjyotsna, Javed Ali",BollywoodDanceSensual,De Dana Dan,9.4/10
801,Aadat (Juda Hoke Bhi),Atif Aslam,BollywoodSad,Kalyug,9.3/10
802,Jane Kaise Kab Kahan Iqrar Ho Gaya,"Kishore Kumar, Lata Mangeshkar",BollywoodRomantic,Shakti,8.9/10
803,Agar Tum Mil Jao,Shreya Ghoshal,BollywoodRomantic,Zeher,8.9/10
804,Kaara Fankaara,"A.R. Rahman, Aaryan Dinesh Kanagaratnam, Ashima Mahajan, Hard Kaur, Kaly, Paroma Dasgupta, Shashaa Tirupati",BollywoodDance,Ok Jaanu,9.3/10
805,Chokra Jawaan,"Sunidhi Chauhan, Vishal Dadlani",BollywoodDance,Ishaqzaade,9.1/10
